id_represados,der,protocolo,servicos,siape_numerico,dias_represados,dt_extracao,upload,observacao,status,motivo_status,dt_previsao_conclusao,create_at,update_at,delete_at
1,2018-07-19,1724012987,Benefício Assistencial à Pessoa com  Deficiência,892962,1178,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
2,2018-10-31,1277181209,Benefício Assistencial à Pessoa com  Deficiência,895947,1194,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
3,2018-11-06,369909648,Pensão por Morte Urbana,6896215,1188,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
4,2018-11-09,1186918490,Benefício Assistencial à Pessoa com  Deficiência,1380172,1185,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
5,2019-01-16,1637881333,Benefício Assistencial à Pessoa com  Deficiência,1380195,1117,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
6,2019-01-19,913721396,Benefício Assistencial à Pessoa com  Deficiência,895947,1080,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
7,2019-01-21,64626716,Benefício Assistencial à Pessoa com  Deficiência,895947,1073,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
8,2019-01-22,1064274718,Benefício Assistencial à Pessoa com  Deficiência,895947,1077,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
9,2019-02-01,257760944,Benefício Assistencial à Pessoa com  Deficiência,1434383,1075,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
10,2019-02-01,2132831826,Benefício Assistencial à Pessoa com  Deficiência,1434383,1101,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
11,2019-02-05,122135619,Benefício Assistencial à Pessoa com  Deficiência,1380195,1028,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
12,2019-02-11,846236701,Benefício Assistencial à Pessoa com  Deficiência,892590,1091,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
13,2019-02-19,2016650386,Acerto para Integração - SIBE,1452725,125,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
14,2019-02-19,1032701738,Benefício Assistencial à Pessoa com  Deficiência,892590,1083,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
15,2019-02-22,890538597,Benefício Assistencial à Pessoa com  Deficiência,1434383,1080,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
16,2019-02-25,586776003,Benefício Assistencial à Pessoa com  Deficiência,892590,1077,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
17,2019-02-26,1152799118,Benefício Assistencial à Pessoa com  Deficiência,892590,1076,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
18,2019-03-08,798429478,Pensão por Morte Urbana,6896215,1021,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
19,2019-03-11,635838738,Benefício Assistencial à Pessoa com  Deficiência,1380195,1063,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
20,2019-03-11,1899714354,Benefício Assistencial à Pessoa com  Deficiência,1380195,1063,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
21,2019-03-12,372347018,Aposentadoria da Pessoa com  Deficiência por Tempo de Contribuição,892590,1062,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
22,2019-03-12,470727312,Aposentadoria por Idade Rural,6896215,1062,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
23,2019-03-12,1038192734,Benefício Assistencial à Pessoa com  Deficiência,892590,1062,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
24,2019-03-14,1016050677,Benefício Assistencial à Pessoa com  Deficiência,892962,1060,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
25,2019-03-15,1364571686,Acerto para Integração - SIBE,1452725,89,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
26,2019-03-15,643668215,Acerto para Integração - SIBE,1452725,97,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
27,2019-03-16,292922306,Certidão de Tempo de Contribuição,1380195,1053,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
28,2019-03-18,845602683,Acerto para Integração - SIBE,1452725,125,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
29,2019-03-18,600337876,Benefício Assistencial à Pessoa com  Deficiência,1380195,1032,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
30,2019-03-22,1617645894,Benefício Assistencial à Pessoa com  Deficiência,892962,1006,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
31,2019-03-22,199402553,Benefício Assistencial à Pessoa com  Deficiência,892962,1052,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
32,2019-03-22,548120678,Benefício Assistencial à Pessoa com  Deficiência,1380195,1052,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
33,2019-03-22,880357548,Benefício Assistencial à Pessoa com  Deficiência,892962,1052,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
34,2019-03-28,1739837953,Acerto para Integração - SIBE,1452725,97,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
35,2019-03-28,909954940,Benefício Assistencial à Pessoa com  Deficiência,895947,1018,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
36,2019-03-28,146959902,Benefício Assistencial à Pessoa com  Deficiência,892962,1046,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
37,2019-04-01,1235433360,Acerto para Integração - SIBE,1452725,97,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
38,2019-04-01,1301417927,Benefício Assistencial à Pessoa com  Deficiência,895947,1042,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
39,2019-04-02,563362127,Benefício Assistencial à Pessoa com  Deficiência,1380195,1027,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
40,2019-04-03,1999196193,Acerto para Integração - SIBE,1452725,97,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
41,2019-04-05,1223525355,Acerto para Integração - SIBE,1452725,97,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
42,2019-04-11,184894471,Benefício Assistencial à Pessoa com  Deficiência,892590,1032,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
43,2019-04-17,1221351283,Benefício Assistencial à Pessoa com  Deficiência,2389862,1026,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
44,2019-04-18,911168698,Certidão de Tempo de Contribuição,1380195,1007,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
45,2019-04-22,1175856393,Benefício Assistencial à Pessoa com  Deficiência,1380195,1021,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
46,2019-04-26,1681134676,Benefício Assistencial à Pessoa com  Deficiência,2389862,1013,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
47,2019-05-14,705789720,Benefício Assistencial à Pessoa com  Deficiência,892590,965,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
48,2019-05-16,461804304,Benefício Assistencial à Pessoa com  Deficiência,2390144,997,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
49,2019-05-16,623271815,Aposentadoria da Pessoa com  Deficiência por Tempo de Contribuição,892590,997,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
50,2019-05-30,1975751111,Benefício Assistencial à Pessoa com  Deficiência,895947,983,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
51,2019-06-06,1580699743,Benefício Assistencial à Pessoa com  Deficiência,892590,972,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
52,2019-06-07,1557437779,Benefício Assistencial à Pessoa com  Deficiência,892590,975,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
53,2019-06-12,350270349,Pensão por Morte Rural,892646,970,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
54,2019-06-24,372699811,Benefício Assistencial à Pessoa com  Deficiência,892962,958,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
55,2019-06-24,787600874,Benefício Assistencial à Pessoa com  Deficiência,1380195,958,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
56,2019-06-24,2065756137,Benefício Assistencial à Pessoa com  Deficiência,1380195,958,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
57,2019-06-28,537638333,Benefício Assistencial à Pessoa com  Deficiência,892590,954,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
58,2019-07-01,174766653,Benefício Assistencial à Pessoa com  Deficiência,1947874,951,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
59,2019-07-01,1425245033,Benefício Assistencial à Pessoa com  Deficiência,1947874,951,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
60,2019-07-03,120459479,Benefício Assistencial à Pessoa com  Deficiência,892962,949,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
61,2019-07-03,527627091,Benefício Assistencial à Pessoa com  Deficiência,892962,949,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
62,2019-07-04,1162061141,Benefício Assistencial à Pessoa com  Deficiência,1452725,948,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
63,2019-07-04,1692345558,Benefício Assistencial à Pessoa com  Deficiência,892590,948,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
64,2019-07-05,1271716229,Benefício Assistencial à Pessoa com  Deficiência,892962,947,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
65,2019-07-09,470068848,Benefício Assistencial à Pessoa com  Deficiência,1434383,943,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
66,2019-07-09,2020809554,Aposentadoria por Tempo de Contribuição,1947874,943,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
67,2019-07-10,1043793175,Benefício Assistencial à Pessoa com  Deficiência,1380195,942,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
68,2019-07-10,1261561342,Benefício Assistencial à Pessoa com  Deficiência,1380195,942,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
69,2019-07-11,910832180,Benefício Assistencial à Pessoa com  Deficiência,1380195,941,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
70,2019-07-11,1111139962,Benefício Assistencial à Pessoa com  Deficiência,1380195,941,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
71,2019-07-12,1409848576,Benefício Assistencial à Pessoa com  Deficiência,1380195,940,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
72,2019-07-15,57064548,Benefício Assistencial à Pessoa com  Deficiência,895947,937,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
73,2019-07-15,1042743713,Benefício Assistencial à Pessoa com  Deficiência,1380195,937,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
74,2019-07-16,1898695399,Benefício Assistencial à Pessoa com  Deficiência,892590,936,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
75,2019-07-28,45927661,Aposentadoria da Pessoa com  Deficiência por Tempo de Contribuição,1380195,924,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
76,2019-07-29,604771371,Benefício Assistencial à Pessoa com  Deficiência,892590,923,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
77,2019-08-02,630824210,Solicitação de Auxílio-Acidente,1380206,919,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
78,2019-08-12,486919769,Benefício Assistencial à Pessoa com  Deficiência,895947,909,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
79,2019-08-12,942091707,Aposentadoria por Tempo de Contribuição,895947,909,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
80,2019-08-24,53362345,Aposentadoria da Pessoa com  Deficiência por Tempo de Contribuição,892590,897,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
81,2019-08-27,61019613,Aposentadoria por Tempo de Contribuição,1380195,894,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
82,2019-09-02,1114974902,Benefício Assistencial à Pessoa com  Deficiência,1947874,888,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
83,2019-09-03,1336917622,Benefício Assistencial à Pessoa com  Deficiência,892962,887,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
84,2019-09-04,802851497,Benefício Assistencial à Pessoa com  Deficiência - Microcefalia,892646,886,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
85,2019-09-19,910038337,Benefício Assistencial à Pessoa com  Deficiência,1947874,871,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
86,2019-09-19,1913981131,Benefício Assistencial à Pessoa com  Deficiência - Microcefalia,1452743,871,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
87,2019-09-22,404595985,Aposentadoria da Pessoa com  Deficiência por Tempo de Contribuição,1434383,868,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
88,2019-09-24,891332068,Benefício Assistencial à Pessoa com  Deficiência - Microcefalia,1452743,866,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
89,2019-09-25,954870759,Benefício Assistencial à Pessoa com  Deficiência,895947,865,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
90,2019-09-30,82546355,Benefício Assistencial à Pessoa com  Deficiência,892962,860,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
91,2019-09-30,1248499003,Benefício Assistencial à Pessoa com  Deficiência,892962,860,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
92,2019-09-30,1480206748,Benefício Assistencial à Pessoa com  Deficiência,892962,860,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
93,2019-10-02,1360748544,Benefício Assistencial à Pessoa com  Deficiência,892590,858,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
94,2019-10-07,419268590,Benefício Assistencial à Pessoa com  Deficiência,1380195,853,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
95,2019-10-10,228787443,Benefício Assistencial à Pessoa com  Deficiência,892590,850,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
96,2019-10-10,744531311,Benefício Assistencial à Pessoa com  Deficiência,1380195,850,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
97,2019-10-15,2082203190,Benefício Assistencial à Pessoa com  Deficiência,895947,845,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
98,2019-10-17,136790865,Antecipação de Benefício Assistencial (B16),1380189,661,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
99,2019-10-18,392160551,Benefício Assistencial à Pessoa com  Deficiência,892590,842,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
100,2019-10-22,622389487,Antecipação de Benefício Assistencial (B16),1976352,661,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
101,2019-10-22,1989398796,Benefício Assistencial à Pessoa com  Deficiência,892590,838,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
102,2019-10-25,688957830,Benefício Assistencial à Pessoa com  Deficiência,2019533,835,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
103,2019-10-30,35061192,Aposentadoria por Tempo de Contribuição,892590,830,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
104,2019-10-31,1920839953,Antecipação de Benefício Assistencial (B16),1976352,661,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
105,2019-11-04,379150421,Benefício Assistencial à Pessoa com  Deficiência,892590,825,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
106,2019-11-11,1855986119,Acerto para Integração - SIBE,1452725,125,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
